,Open,Close,Mid
0,5104.359863,5060.25,5082.3049315
1,5063.259766,5055.419922,5059.339844
2,5093.100098,5070.029785,5081.5649415
3,5139.77002,5117.0,5128.38501
4,5113.259766,5080.509766,5096.884766
5,5146.029785,5171.77002,5158.899902499999
6,5180.330078,5146.410156,5163.370117
7,5166.910156,5088.629883,5127.7700195
8,5055.919922,5039.779785,5047.8498535
9,5063.439941,5089.209961,5076.324951
10,5132.77002,5139.939941,5136.3549805
11,5146.629883,5056.439941,5101.534911999999
12,5043.970215,5043.540039,5043.755127
13,4994.52002,5044.390137,5019.4550785
14,5040.379883,5095.689941,5068.034911999999
15,5079.759766,5053.75,5066.754883
16,5114.310059,5145.129883,5129.719971
17,5155.620117,5142.47998,5149.0500485
18,5144.149902,5127.740234,5135.945068
19,5124.040039,5147.120117,5135.580078000001
20,5004.600098,5075.200195,5039.9001465
21,5070.660156,5102.810059,5086.735107500001
22,5139.580078,5108.669922,5124.125
23,5129.640137,5156.310059,5142.975098000001
24,5158.819824,5123.220215,5141.0200195
25,5143.160156,5037.529785,5090.3449705
26,5139.459961,5101.810059,5120.63501
27,5033.47998,5071.129883,5052.3049315
28,5095.609863,5110.049805,5102.829834
29,5143.839844,5139.810059,5141.824951500001
30,5144.819824,5154.97998,5149.899902
31,5162.149902,5162.129883,5162.139892499999
32,5177.529785,5137.72998,5157.629882499999
33,5190.709961,5221.120117,5205.9150389999995
34,5217.950195,5125.910156,5171.9301755
35,5098.029785,5211.890137,5154.9599610000005
36,5181.140137,5155.25,5168.1950685
37,5178.100098,5249.689941,5213.8950195
38,5238.709961,5244.569824,5241.639892499999
39,5263.649902,5295.180176,5279.4150389999995
40,5311.310059,5269.149902,5290.2299805
41,5288.870117,5312.0,5300.4350585
42,5147.279785,5105.569824,5126.4248045
43,5104.700195,5058.410156,5081.5551755
44,5034.410156,5046.370117,5040.3901365
45,5143.859863,5251.069824,5197.4648435
46,5283.47998,5208.799805,5246.139892499999
47,5191.819824,5237.109863,5214.4648435
48,5246.330078,5218.399902,5232.36499
49,5241.350098,5275.620117,5258.485107500001
50,5253.740234,5294.580078,5274.160156
51,5295.069824,5333.970215,5314.5200195
52,5391.350098,5323.680176,5357.515137
53,5323.879883,5251.109863,5287.494873
54,5317.740234,5333.0,5325.370117
55,5322.669922,5393.759766,5358.214844
56,5394.149902,5417.359863,5405.754882499999
57,5436.109863,5444.5,5440.3049315
58,5433.569824,5463.830078,5448.6999510000005
59,5465.689941,5436.669922,5451.1799315
60,5443.509766,5456.850098,5450.179932
61,5467.819824,5437.160156,5452.48999
62,5550.720215,5563.649902,5557.1850585
63,5635.859863,5656.339844,5646.0998535
64,5592.870117,5614.790039,5603.830078000001
65,5654.509766,5642.649902,5648.579834
66,5627.149902,5636.200195,5631.6750485
67,5662.950195,5682.450195,5672.700195
68,5688.02002,5715.180176,5701.600098
69,5756.509766,5782.569824,5769.539795000001
70,5777.899902,5819.439941,5798.6699215
71,5823.009766,5814.899902,5818.954834
72,5850.200195,5865.950195,5858.075195
73,5852.790039,5825.439941,5839.11499
74,5874.859863,5904.029785,5889.444824
75,5897.009766,5861.220215,5879.1149905
76,5867.160156,5861.72998,5864.445068
77,5869.97998,5900.049805,5885.014892499999
78,5898.580078,5901.0,5899.7900389999995
79,5923.419922,5793.830078,5858.625
80,5911.919922,5864.47998,5888.1999510000005
81,6072.870117,6047.609863,6060.23999
82,6102.509766,6095.370117,6098.939941500001
83,6075.040039,6072.549805,6073.794922
84,6075.060059,6075.339844,6075.199951500001
85,6111.819824,6120.589844,6116.204834
86,6121.640137,6129.140137,6125.390137
87,6110.049805,6115.959961,6113.004883
88,6160.52002,6169.870117,6165.1950685
89,6108.620117,6011.240234,6059.9301755
90,5998.459961,6055.129883,6026.794921999999
91,6221.629883,6198.52002,6210.0749515
92,6215.910156,6246.830078,6231.370117
93,6311.72998,6321.759766,6316.744873
94,6330.25,6207.919922,6269.0849610000005
95,6153.560059,6175.459961,6164.51001
96,6206.120117,6220.370117,6213.245117
97,6237.459961,6194.890137,6216.1750489999995
98,6154.279785,6151.759766,6153.0197755
99,6196.850098,6239.009766,6217.929932
100,6229.620117,6188.029785,6208.8249510000005
101,6202.75,6233.950195,6218.350097500001
102,6239.149902,6236.689941,6237.9199215
103,6234.350098,6265.25,6249.8000489999995
104,6292.72998,6247.149902,6269.9399410000005
105,6227.899902,6146.620117,6187.2600095
106,6173.100098,6234.410156,6203.755127
107,6215.490234,6144.350098,6179.920166
108,6166.839844,6140.419922,6153.629883
109,6109.600098,6089.459961,6099.5300295
110,6425.930176,6422.75,6424.340088
111,6459.759766,6382.189941,6420.9748535
112,6393.100098,6362.649902,6377.875
113,6366.240234,6340.339844,6353.2900389999995
114,6322.919922,6352.330078,6337.625
115,6312.649902,6216.870117,6264.7600095
116,6322.720215,6221.910156,6272.3151855
117,6222.459961,6216.529785,6219.494873
118,6402.939941,6397.870117,6400.405029
119,6440.720215,6460.189941,6450.455078
120,6426.160156,6448.470215,6437.3151855
121,6459.740234,6456.040039,6457.8901365
122,6403.109863,6370.589844,6386.8498535
123,6414.370117,6453.259766,6433.814941500001
124,6461.279785,6495.959961,6478.619873
125,6506.080078,6516.720215,6511.4001465
126,6523.740234,6531.709961,6527.7250975
127,6521.959961,6534.629883,6528.294921999999
128,6594.759766,6591.509766,6593.134766
129,6587.220215,6563.890137,6575.555176
130,6567.589844,6556.77002,6562.179932
131,6635.029785,6701.259766,6668.1447755
132,6693.77002,6698.959961,6696.3649905
