,Low,High,Average
0,3675.120117,3708.419922,3691.7700194999998
1,3716.439941,3729.379883,3722.909912
2,3704.219971,3726.590088,3715.4050294999997
3,3713.080078,3731.840088,3722.460083
4,3701.879883,3724.72998,3713.3049315
5,3712.469971,3756.23999,3734.3549805000002
6,3724.26001,3747.080078,3735.670044
7,3737.689941,3790.699951,3764.194946
8,3781.590088,3798.159912,3789.875
9,3774.110107,3798.76001,3786.4350585
10,3745.540039,3787.139893,3766.339966
11,3753.040039,3789.850098,3771.4450685
12,3754.939941,3782.919922,3768.9299315
13,3772.800049,3795.719971,3784.26001
14,3762.669922,3788.350098,3775.51001
15,3734.73999,3780.969971,3757.8549805000002
16,3774.179932,3817.97998,3796.079956
17,3788.449951,3819.280029,3803.86499
18,3753.169922,3816.959961,3785.0649415
19,3773.399902,3812.860107,3793.1300045
20,3769.75,3800.080078,3784.915039
21,3694.149902,3772.48999,3733.319946
22,3650.030029,3702.149902,3676.0899655000003
23,3721.110107,3764.719971,3742.915039
24,3751.379883,3794.370117,3772.875
25,3766.280029,3816.409912,3791.3449705000003
26,3789.679932,3824.439941,3807.0599365
27,3814.149902,3840.47998,3827.314941
28,3821.429932,3863.48999,3842.459961
29,3882.060059,3914.929932,3898.4949955
30,3909.909912,3931.449951,3920.6799315
31,3904.060059,3947.669922,3925.8649905
32,3887.669922,3911.639893,3899.6549075000003
33,3907.540039,3932.600098,3920.0700685
34,3927.5,3961.100098,3944.300049
35,3927.090088,3947.580078,3937.335083
36,3934.939941,3957.120117,3946.030029
37,3919.139893,3966.709961,3942.924927
38,3909.26001,3945.040039,3927.1500244999997
39,3904.199951,3938.47998,3921.3399655000003
40,3919.459961,3937.5,3928.4799805000002
41,3909.629883,3947.27002,3928.4499514999998
42,3920.909912,3955.969971,3938.4399415
43,3855.070068,3938.330078,3896.700073
44,3869.120117,3919.22998,3894.1750485000002
45,3904.719971,3925.340088,3915.0300294999997
46,3902.669922,3922.27002,3912.469971
47,3899.310059,3965.580078,3932.4450685
