Date,Open,High,Low,Close,Adj Close,Volume
2013-09-09,3675.120117,3708.419922,3675.120117,3706.179932,3706.179932,1664290000
2013-09-10,3724.669922,3729.379883,3716.439941,3729.020020,3729.020020,1842570000
2013-09-11,3710.790039,3726.590088,3704.219971,3725.010010,3725.010010,1722380000
2013-09-12,3724.530029,3731.840088,3713.080078,3715.969971,3715.969971,1653860000
2013-09-13,3723.270020,3724.729980,3701.879883,3722.179932,3722.179932,1460190000
2013-09-16,3755.000000,3756.239990,3712.469971,3717.850098,3717.850098,1542500000
2013-09-17,3725.310059,3747.080078,3724.260010,3745.699951,3745.699951,1338800000
2013-09-18,3751.290039,3790.699951,3737.689941,3783.639893,3783.639893,1828820000
2013-09-19,3794.699951,3798.159912,3781.590088,3789.379883,3789.379883,1775980000
2013-09-20,3796.280029,3798.760010,3774.110107,3774.729980,3774.729980,2711270000
2013-09-23,3786.840088,3787.139893,3745.540039,3765.290039,3765.290039,1728620000
2013-09-24,3771.600098,3789.850098,3753.040039,3768.250000,3768.250000,1810950000
2013-09-25,3772.590088,3782.919922,3754.939941,3761.100098,3761.100098,1821790000
2013-09-26,3774.949951,3795.719971,3772.800049,3787.429932,3787.429932,1817960000
2013-09-27,3767.889893,3788.350098,3762.669922,3781.590088,3781.590088,1699720000
2013-09-30,3737.600098,3780.969971,3734.739990,3771.479980,3771.479980,1895760000
2013-10-01,3774.179932,3817.979980,3774.179932,3817.979980,3817.979980,1843320000
2013-10-02,3793.110107,3819.280029,3788.449951,3815.020020,3815.020020,1792980000
2013-10-03,3809.899902,3816.959961,3753.169922,3774.340088,3774.340088,1884340000
2013-10-04,3774.719971,3812.860107,3773.399902,3807.750000,3807.750000,1549600000
2013-10-07,3776.639893,3800.080078,3769.750000,3770.379883,3770.379883,1475990000
2013-10-08,3772.219971,3772.489990,3694.149902,3694.830078,3694.830078,2087580000
2013-10-09,3701.620117,3702.149902,3650.030029,3677.780029,3677.780029,2242700000
2013-10-10,3721.580078,3764.719971,3721.110107,3760.750000,3760.750000,1902410000
2013-10-11,3753.219971,3794.370117,3751.379883,3791.870117,3791.870117,1750350000
2013-10-14,3767.489990,3816.409912,3766.280029,3815.280029,3815.280029,1455160000
